City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Ancud,CL,-41.8697,-73.8203,48.69,91,100,19.35,moderate rain
164,Petropavl,KZ,54.8753,69.1628,62.83,79,2,4.5,clear sky
165,Pangnirtung,CA,66.1451,-65.7125,50.0,71,20,6.91,few clouds
166,Calamar,CO,10.2511,-74.9146,90.91,58,99,8.93,overcast clouds
167,Najran,SA,17.4924,44.1277,88.45,37,92,5.57,overcast clouds
168,Rio Grande,BR,-32.035,-52.0986,66.31,83,0,7.78,clear sky
169,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,36,0,14.97,clear sky
170,Vincennes,FR,48.85,2.4333,82.69,35,0,5.75,clear sky
171,Port-Cartier,CA,50.0334,-66.8654,68.22,94,83,7.31,broken clouds
172,Gorom-Gorom,BF,14.4439,-0.2361,93.96,39,87,3.13,light rain
173,Ostrovnoy,RU,68.0531,39.5131,53.04,87,3,10.89,clear sky
174,Sydney,AU,-33.8679,151.2073,57.7,78,100,4.0,light rain
175,Kosonsoy,UZ,41.2561,71.5508,70.36,36,2,7.83,clear sky
176,Acu,BR,-5.5767,-36.9086,82.02,57,61,12.82,broken clouds
177,Maniitsoq,GL,65.4167,-52.9,43.88,83,99,8.95,overcast clouds
178,Barcani,RO,45.7,26.0833,59.97,73,0,2.01,clear sky
179,Doha,QA,25.2867,51.5333,97.11,68,0,2.3,clear sky
180,Osa,RU,57.2829,55.4567,52.66,89,25,3.91,scattered clouds
181,Kushmurun,KZ,52.4503,64.6311,71.55,50,40,5.88,scattered clouds
182,Porto Velho,BR,-8.7619,-63.9039,87.85,37,0,5.75,clear sky
183,Mount Gambier,AU,-37.8333,140.7667,46.31,100,100,6.91,moderate rain
184,Lompoc,US,34.6391,-120.4579,82.54,72,0,13.8,mist
185,Norman Wells,CA,65.282,-126.8329,66.24,39,40,8.05,scattered clouds
186,Cockburn Town,TC,21.4612,-71.1419,81.99,76,11,16.93,few clouds
187,Nome,US,64.5011,-165.4064,51.87,82,100,8.05,overcast clouds
188,Jega,NG,12.2175,4.3792,74.34,82,100,8.7,overcast clouds
189,Obihiro,JP,42.9172,143.2044,67.78,99,100,1.7,moderate rain
190,Upata,VE,8.0086,-62.3989,79.59,88,69,2.06,broken clouds
191,Baykit,RU,61.67,96.37,45.01,88,16,3.71,few clouds
192,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,2.24,mist
193,Kotido,UG,2.9806,34.1331,66.13,88,100,2.75,moderate rain
194,Port Hedland,AU,-20.3167,118.5667,66.25,34,100,13.8,overcast clouds
195,Kinna,SE,57.5073,12.6946,64.33,82,5,3.6,clear sky
196,Shingu,JP,33.7333,135.9833,78.71,91,100,2.06,overcast clouds
197,Saint-Francois,FR,46.4154,3.9054,76.44,36,0,4.61,clear sky
198,Mayskiy,RU,47.6931,40.1025,80.01,30,99,9.31,overcast clouds
199,Coahuayana,MX,18.7333,-103.6833,87.6,68,99,7.63,overcast clouds
200,Port-Gentil,GA,-0.7193,8.7815,73.36,94,20,6.91,few clouds
201,Kailua,US,21.4022,-157.7394,85.98,76,75,12.66,light rain
202,Kavieng,PG,-2.5744,150.7967,80.91,79,95,12.86,light rain
203,Qaqortoq,GL,60.7167,-46.0333,45.61,89,32,2.95,scattered clouds
204,Kendari,ID,-3.945,122.4989,74.53,95,59,1.48,broken clouds
