City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Srandakan,ID,75.94,broken clouds,-7.9386,110.2506,Puri Brata
562,Kokoda,PG,71.94,broken clouds,-8.8785,147.7407,Daito Guest House
566,Santiago Del Estero,AR,72.27,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
568,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
569,Vung Tau,VN,78.87,overcast clouds,10.346,107.0843,Seaside Resort
571,Auch,FR,79.97,clear sky,43.65,0.5833,Hotel Le Domaine De Baulieu
573,Kulhudhuffushi,MV,81.16,broken clouds,6.6221,73.07,Haajy Guest House 1
574,Methoni,GR,73.26,few clouds,36.8197,21.7049,Methoni Beach Hotel
580,Camopi,GF,81.63,overcast clouds,3.1655,-52.3158,La pousada
581,Mackenzie,CA,77.22,clear sky,55.2999,-123.1698,Hilton Shop
587,Eydhafushi,MV,81.23,broken clouds,5.1033,73.0708,Soneva Fushi
588,Daru,PG,76.28,overcast clouds,-9.0763,143.2092,Daru Lodge
589,Mbanza-Ngungu,CD,72.88,overcast clouds,-5.25,14.8667,Hotel Full Business
593,Kindu,CD,75.38,broken clouds,-2.95,25.95,Résidence Okanda
597,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
598,Rock Sound,BS,82.18,clear sky,24.9,-76.2,Pink Corral Bay Property
599,Yovon,TJ,71.28,clear sky,38.3141,69.0378,Dekhai Oli Somon
602,Buin,CL,70.12,clear sky,-33.7333,-70.75,Paihuen
603,Buritizeiro,BR,70.74,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
605,Miguel Auza,MX,76.53,broken clouds,24.2933,-103.4503,Hotel Del Centro
608,Sulangan,PH,82.89,overcast clouds,11.1373,123.7228,Maia's Beach Resort
609,Quixada,BR,81.61,broken clouds,-4.9714,-39.0153,Hotel Vale das Pedras
610,Phuket,TH,79.02,few clouds,8.0,98.25,The Surin
